Accession,Protein Name,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Gene Symbol,RV Fold-change,RV Adj. P-Value,LV Fold-change,LV Adj. P-Value,Tissue,Ome,Species
P20069,Mitochondrial-processing peptidase subunit alpha ,19,6,27,6,Pmpca,1.07,1.00,1.04,1.00,HEART,PROT,RAT
Q03346,Mitochondrial-processing peptidase subunit beta ,21,8,20,8,Pmpcb,0.91,0.74,0.98,1.00,HEART,PROT,RAT
A0A096MK30,Moesin ,52,31,105,21,Msn,1.21,<0.01,1.23,<0.01,HEART,PROT,RAT
P53987,Monocarboxylate transporter 1 ,11,6,24,6,Slc16a1,1.51,<0.01,1.60,<0.01,HEART,PROT,RAT
B4F768,Multifunctional fusion protein (Fragment) ,40,18,94,18,Aldh4a1,0.85,0.01,0.91,0.04,HEART,PROT,RAT
Q03626,Murinoglobulin-1 ,27,34,179,9,Mug1,1.00,1.00,0.94,1.00,HEART,PROT,RAT
A0A096MJS3,Muscular LMNA-interacting protein (Fragment) ,13,8,19,8,Mlip,0.93,1.00,1.04,1.00,HEART,PROT,RAT
D4A7F2,Myc-binding protein ,36,2,4,2,Mycbp,1.13,1.00,1.02,1.00,HEART,PROT,RAT
B2GV99,Myl6 protein ,51,8,91,4,Myl6,1.13,0.48,1.30,0.02,HEART,PROT,RAT
Q5EB94,Myocardial zonula adherens protein ,26,10,28,10,Gcom1; Myzap,1.21,0.40,0.98,1.00,HEART,PROT,RAT
Q9QZ76,Myoglobin ,80,17,2051,17,Mb,0.94,0.88,1.00,1.00,HEART,PROT,RAT
A0A0G2K5P5,Myomesin 1 ,53,79,653,79,Myom1,0.95,0.69,0.95,0.90,HEART,PROT,RAT
G3V7K1,Myomesin 2 ,50,60,607,60,Myom2,0.90,0.01,0.98,1.00,HEART,PROT,RAT
D4A7X7,Myopalladin ,8,8,20,8,Mypn,1.10,1.00,0.93,1.00,HEART,PROT,RAT
F1LNF0,Myosin heavy chain 14 ,14,23,49,18,Myh14,0.86,0.15,1.01,1.00,HEART,PROT,RAT
P16409,Myosin light chain 3 ,67,16,708,13,Myl3,0.95,0.79,1.00,1.00,HEART,PROT,RAT
A0A0G2K2W5,Myosin light chain 7 ,42,4,12,4,Myl7,1.65,0.01,1.35,0.05,HEART,PROT,RAT
E9PT87,Myosin light chain kinase 3 ,31,19,45,18,Mylk3,0.74,0.50,0.88,0.70,HEART,PROT,RAT
P08733,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform ",90,19,1504,19,Myl2,0.96,0.87,1.05,1.00,HEART,PROT,RAT
G3V9Y1,"Myosin, heavy polypeptide 10, non-muscle, isoform CRA_b ",10,17,41,4,Myh10,2.00,0.01,1.95,0.01,HEART,PROT,RAT
G3V6P7,"Myosin, heavy polypeptide 9, non-muscle ",39,67,187,53,LOC100911597; Myh9; Myh9l1,1.21,0.01,1.37,<0.01,HEART,PROT,RAT
E9PTU4,Myosin-11 ,31,51,141,35,Myh11,0.60,<0.01,1.25,0.09,HEART,PROT,RAT
G3V885,Myosin-6 ,67,173,5653,46,Myh6,0.24,<0.01,0.28,<0.01,HEART,PROT,RAT
G3V8B0,Myosin-7 ,69,191,6473,63,Myh7,1.25,0.01,1.14,0.18,HEART,PROT,RAT
P56741,"Myosin-binding protein C, cardiac-type ",45,55,707,55,Mybpc3,1.01,1.00,0.96,0.61,HEART,PROT,RAT
P62775,Myotrophin ,20,2,5,2,Mtpn,1.33,0.67,1.57,0.08,HEART,PROT,RAT
A0A0G2KAQ5,Myozenin 2 ,59,14,218,14,Myoz2,1.07,0.01,0.95,0.05,HEART,PROT,RAT
F1LMW7,Myristoylated alanine-rich C-kinase substrate ,30,6,12,6,Marcks,1.21,0.80,1.27,0.16,HEART,PROT,RAT
O08557,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 ",34,9,41,8,Ddah1,2.06,<0.01,1.60,<0.01,HEART,PROT,RAT
Q6MG60,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 ",29,7,18,6,Ddah2,1.10,0.75,1.04,1.00,HEART,PROT,RAT
G3V6D9,Na(+)/H(+) exchange regulatory cofactor NHE-RF ,17,4,7,4,Slc9a3r2,0.74,0.22,0.99,1.00,HEART,PROT,RAT
B1WC26,N-acetylneuraminate synthase ,17,4,17,4,Nans,1.21,0.71,1.13,0.99,HEART,PROT,RAT
P69060,N-acylneuraminate cytidylyltransferase ,6,2,5,2,Cmas,1.04,1.00,1.32,0.57,HEART,PROT,RAT
A0A096MKG5,"NAD kinase 2, mitochondrial ",18,6,7,6,Nadk2; Nadkd1,0.68,0.31,0.91,1.00,HEART,PROT,RAT
A0A0G2K8S9,NAD(P)(+)--arginine ADP-ribosyltransferase ,20,7,43,7,Art3,0.64,<0.01,0.72,0.03,HEART,PROT,RAT
B0BNM1,NAD(P)H-hydrate epimerase ,27,5,27,5,Apoa1bp; Naxe,0.66,0.06,0.89,0.72,HEART,PROT,RAT
C6ZII9,NAD-dependent protein deacetylase ,22,6,14,6,Sirt3,0.78,1.00,1.34,0.95,HEART,PROT,RAT
A0A0G2JWM2,NAD-dependent protein deacetylase ,11,3,6,3,Sirt2,0.76,0.26,0.88,0.84,HEART,PROT,RAT
Q68FX9,"NAD-dependent protein deacylase sirtuin-5, mitochondrial ",14,3,10,3,Sirt5,0.77,0.07,0.95,1.00,HEART,PROT,RAT
F1LWG4,"NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex, assembly factor 1 (Predicted), isoform CRA_a ",13,4,10,4,Ndufaf1,0.94,1.00,1.03,1.00,HEART,PROT,RAT
D4A7L4,"NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 11 (Predicted) ",44,4,25,4,Ndufb11,0.80,0.60,0.88,0.87,HEART,PROT,RAT
D4A565,"NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 5 (Predicted), isoform CRA_b ",28,5,48,5,Ndufb5,0.91,0.36,0.77,0.03,HEART,PROT,RAT
D3ZZ21,"NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 6 (Predicted) ",38,4,15,4,Ndufb6,1.05,1.00,0.72,0.07,HEART,PROT,RAT
D3ZLT1,"NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 7 (Predicted) ",33,3,50,3,Ndufb7,0.87,1.00,0.78,0.74,HEART,PROT,RAT
B2RYW3,"NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 9 ",26,4,37,4,Ndufb9,0.91,0.88,0.91,1.00,HEART,PROT,RAT
A0A0H2UI06,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 ",15,3,9,3,Ndufaf6,0.60,0.34,0.92,1.00,HEART,PROT,RAT
D3ZG43,"NADH dehydrogenase (Ubiquinone) Fe-S protein 3 (Predicted), isoform CRA_c ",55,15,174,15,Ndufs3,0.87,0.44,0.93,0.91,HEART,PROT,RAT
B5DEL8,NADH dehydrogenase (Ubiquinone) Fe-S protein 5 ,27,3,31,3,LOC100363268; Ndufs5,1.01,1.00,0.87,0.26,HEART,PROT,RAT
Q5RJN0,NADH dehydrogenase (Ubiquinone) Fe-S protein 7 ,28,6,47,6,Ndufs7,0.88,0.58,0.99,1.00,HEART,PROT,RAT
B0BNE6,"NADH dehydrogenase (Ubiquinone) Fe-S protein 8 (Predicted), isoform CRA_a ",36,8,131,8,Ndufs8,0.92,0.66,0.91,0.82,HEART,PROT,RAT
G3V644,"NADH dehydrogenase (Ubiquinone) flavoprotein 3-like, isoform CRA_a ",16,4,15,4,Ndufv3,0.65,<0.01,0.74,0.01,HEART,PROT,RAT
Q9NQR8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 ,44,6,17,6,Ndufaf4,0.96,1.00,1.10,0.19,HEART,PROT,RAT
Q561S0,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial ",46,11,255,11,Ndufa10; Ndufa10l1,0.88,0.91,0.93,0.92,HEART,PROT,RAT
F1LXA0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 ,63,8,87,8,Ndufa12,0.89,0.09,0.88,0.08,HEART,PROT,RAT
D3ZS58,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 ,42,5,51,5,Ndufa2,0.94,0.50,0.91,1.00,HEART,PROT,RAT
Q63362,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 ,49,6,68,6,Ndufa5,0.91,0.52,0.89,0.21,HEART,PROT,RAT
D4A3V2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 ,45,5,57,5,Ndufa6,0.83,<0.01,0.88,0.03,HEART,PROT,RAT
A0A0G2JVL6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 ,20,3,27,3,Ndufa8,1.02,0.99,0.83,0.05,HEART,PROT,RAT
Q5BK63,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial ",68,22,214,22,Ndufa9,0.93,0.80,0.93,1.00,HEART,PROT,RAT
P0DN35,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 ,33,2,13,2,LOC100912357; Ndufb1,0.89,1.00,0.64,0.08,HEART,PROT,RAT
B2RYS8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial ",47,7,108,7,Ndufb8,0.88,0.54,0.87,0.18,HEART,PROT,RAT
Q5PQZ9,NADH dehydrogenase [ubiquinone] 1 subunit C2 ,38,6,59,6,Ndufc2,0.90,1.00,1.04,1.00,HEART,PROT,RAT
Q5XIH3,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial ",33,16,138,16,Ndufv1,0.93,0.81,0.95,1.00,HEART,PROT,RAT
P19234,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial ",34,7,68,7,Ndufv2,0.89,0.07,0.86,0.03,HEART,PROT,RAT
Q641Y2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial ",49,16,252,16,Ndufs2,1.01,1.00,1.00,1.00,HEART,PROT,RAT
Q5XIF3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial ",51,7,70,7,Ndufs4,0.89,0.08,0.87,0.17,HEART,PROT,RAT
D3ZCZ9,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial ",34,3,28,3,LOC679739; LOC100912599,0.87,1.00,1.27,1.00,HEART,PROT,RAT
D3ZE15,NADH:ubiquinone oxidoreductase subunit A13 ,59,7,90,7,LOC100911483; Ndufa13,1.01,0.86,0.90,0.07,HEART,PROT,RAT
A9UMV9,NADH:ubiquinone oxidoreductase subunit A7 ,52,6,55,6,Ndufa7,0.89,0.17,0.94,0.15,HEART,PROT,RAT
D4A0T0,NADH:ubiquinone oxidoreductase subunit B10 ,53,10,92,10,Ndufb10,0.91,0.73,0.73,0.01,HEART,PROT,RAT
D4A4P3,NADH:ubiquinone oxidoreductase subunit B3 ,28,2,15,2,Ndufb3,0.91,0.58,0.91,1.00,HEART,PROT,RAT
F1LPG5,NADH:ubiquinone oxidoreductase subunit B4 ,36,4,45,4,Ndufb4,0.95,0.85,0.92,0.29,HEART,PROT,RAT
P20070,NADH-cytochrome b5 reductase 3 ,27,6,25,6,Cyb5r3,1.13,0.76,1.09,0.68,HEART,PROT,RAT
Q66HF1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial ",53,30,505,30,Ndufs1,0.93,0.14,0.93,0.07,HEART,PROT,RAT
P03889,NADH-ubiquinone oxidoreductase chain 1 ,11,4,11,4,ND1,0.73,0.02,1.03,1.00,HEART,PROT,RAT
Q7HKW3,NADH-ubiquinone oxidoreductase chain 4 (Fragment) ,20,6,32,6,NADH4 ND4 Nd4,0.94,0.81,1.00,1.00,HEART,PROT,RAT
P11661,NADH-ubiquinone oxidoreductase chain 5 ,17,8,34,8,ND5,0.95,0.74,0.90,1.00,HEART,PROT,RAT
M0R9L0,Nascent polypeptide-associated complex subunit alpha ,15,22,43,22,Naca,0.82,0.59,0.87,0.36,HEART,PROT,RAT
B2RZD6,"NDUFA4, mitochondrial complex-associated ",56,6,109,6,Ndufa4,0.87,0.09,0.82,0.06,HEART,PROT,RAT
A0A0G2JWS2,Nebulette ,62,55,310,55,Nebl,0.98,0.83,0.93,0.53,HEART,PROT,RAT
D4A4K6,Nebulin-related-anchoring protein ,13,17,27,17,Nrap,3.30,0.01,2.38,0.03,HEART,PROT,RAT
A1L122,NEDD8-activating enzyme E1 regulatory subunit ,4,2,3,2,Nae1,0.84,0.19,1.18,0.26,HEART,PROT,RAT
F1LNY3,Neural cell adhesion molecule 1 ,22,14,32,14,Ncam1,4.56,<0.01,4.31,<0.01,HEART,PROT,RAT
P42676,"Neurolysin, mitochondrial ",15,8,13,8,Nln,1.12,0.11,1.40,0.01,HEART,PROT,RAT
B2GV54,Neutral cholesterol ester hydrolase 1 ,18,5,18,5,Nceh1,1.19,0.39,1.47,0.07,HEART,PROT,RAT
Q9Z2J4,Nexilin ,24,13,44,5,Nexn,1.36,0.15,1.31,0.61,HEART,PROT,RAT
Q5FWU2,Nfs1 protein (Fragment) ,20,8,15,8,Nfs1,0.89,1.00,0.96,1.00,HEART,PROT,RAT
Q5BJZ3,Nicotinamide nucleotide transhydrogenase ,41,37,336,37,Nnt,0.82,<0.01,0.82,<0.01,HEART,PROT,RAT
A0A0G2K0I3,Nicotinamide phosphoribosyltransferase ,47,17,71,17,Nampt,1.31,<0.01,1.23,0.02,HEART,PROT,RAT
G3V709,Nicotinate phosphoribosyltransferase ,11,4,12,4,Naprt1; Naprt,0.99,1.00,0.98,1.00,HEART,PROT,RAT
F1LM84,Nidogen-1 ,25,22,106,21,Nid1,0.82,0.06,0.94,1.00,HEART,PROT,RAT
B5DFC9,Nidogen-2 ,9,10,31,9,Nid2,0.97,1.00,1.22,1.00,HEART,PROT,RAT
A0A0G2K8N9,NIMA-related kinase 9 ,4,3,5,3,Nek9,1.13,1.00,1.27,0.78,HEART,PROT,RAT
Q5FVQ8,NLR family member X1 ,12,9,20,9,Nlrx1,0.73,0.42,1.06,1.00,HEART,PROT,RAT
A0A0G2JSV0,"N-myc downstream regulated gene 2, isoform CRA_a ",43,11,122,11,Ndrg2,0.82,<0.01,0.87,<0.01,HEART,PROT,RAT
P11915,Non-specific lipid-transfer protein ,23,11,30,11,Scp2,1.12,0.29,1.16,0.38,HEART,PROT,RAT
A0A0G2K350,NSF attachment protein gamma ,15,4,8,4,Napg,0.86,0.05,0.99,1.00,HEART,PROT,RAT
A0A0G2K911,NSFL1 cofactor p47 ,44,10,30,10,Nsfl1c,0.77,0.34,0.85,0.66,HEART,PROT,RAT
A0A0G2K0V8,Nuclear migration protein nudC-like ,30,7,13,7,LOC100911422,0.95,0.75,1.02,1.00,HEART,PROT,RAT
Q9Z0U8,Nucleic acid binding factor pRM10 ,25,6,29,6,pRM10,1.11,0.91,1.04,0.78,HEART,PROT,RAT
Q63083,Nucleobindin-1 ,20,6,23,6,Nucb1,1.67,0.24,1.39,0.58,HEART,PROT,RAT
Q5U328,Nucleolin ,20,13,32,13,Ncl,0.95,1.00,1.14,0.40,HEART,PROT,RAT
P13084,Nucleophosmin ,26,6,23,6,Npm1,1.10,0.13,1.09,0.09,HEART,PROT,RAT
Q05982,Nucleoside diphosphate kinase A ,63,8,77,3,Nme1,1.25,0.25,1.34,0.35,HEART,PROT,RAT
P19804,Nucleoside diphosphate kinase B ,72,10,217,5,Nme2,0.99,1.00,0.95,0.65,HEART,PROT,RAT
D4A478,"Nucleoside-triphosphatase, cancer-related ",44,5,9,5,Ntpcr,0.72,0.17,0.96,1.00,HEART,PROT,RAT
A0A0H2UHZ2,Nucleosome assembly protein 1-like 4 ,29,8,29,7,Nap1l4,1.02,1.00,1.11,0.17,HEART,PROT,RAT
M0R515,Nudix hydrolase 13 ,26,6,13,6,Nudt13,0.86,0.63,1.08,1.00,HEART,PROT,RAT
A0JPJ7,Obg-like ATPase 1 ,43,16,65,16,Ola1,0.95,0.72,0.92,0.28,HEART,PROT,RAT
A0A0G2JUP3,"Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF ",19,93,242,23,Obscn,1.08,0.39,1.15,0.05,HEART,PROT,RAT
D3ZZ80,Obscurin-like protein 1 ,5,6,6,6,Obsl1,1.59,0.11,1.29,0.46,HEART,PROT,RAT
Q5XIG4,OCIA domain-containing protein 1 ,33,7,27,7,Ociad1,0.93,1.00,1.02,1.00,HEART,PROT,RAT
Q497B0,Omega-amidase NIT2 ,45,10,61,10,Nit2,0.74,<0.01,0.77,<0.01,HEART,PROT,RAT
P04182,"Ornithine aminotransferase, mitochondrial ",28,10,44,10,Oat,1.50,0.01,1.63,<0.01,HEART,PROT,RAT
Q6P686,Osteoclast-stimulating factor 1 ,26,3,10,3,Ostf1,1.15,1.00,1.90,0.39,HEART,PROT,RAT
D3ZVB7,Osteoglycin ,34,9,64,9,LOC100910855; Ogn; NEWGENE_1308171,0.86,0.72,1.18,0.17,HEART,PROT,RAT
D4A0Y4,"Oxidoreductase NAD-binding domain containing 1 (Predicted), isoform CRA_b ",25,6,22,6,Oxnad1,0.86,0.19,0.87,0.20,HEART,PROT,RAT
D4A9D8,Oxysterol-binding protein ,10,6,7,6,Osbp,0.72,0.19,0.89,0.90,HEART,PROT,RAT
Q4KM62,Palmdelphin ,26,10,22,10,Palmd,0.93,0.29,1.01,1.00,HEART,PROT,RAT
P04550,Parathymosin ,23,3,9,3,Ptms,1.09,0.32,1.21,0.66,HEART,PROT,RAT
O88767,Parkinson disease protein 7 homolog ,53,8,101,8,Park7,0.99,1.00,0.99,1.00,HEART,PROT,RAT
D3ZKG5,"Parvin, beta ",35,8,26,7,Parvb,1.03,1.00,1.12,0.91,HEART,PROT,RAT
Q6AYU2,Pcbp2 protein ,22,6,17,3,Pcbp2,1.07,0.91,1.07,1.00,HEART,PROT,RAT
B5DEP6,PCI domain-containing protein (Fragment) ,41,14,34,14,Psmd11,1.19,0.27,1.15,0.10,HEART,PROT,RAT
P52944,PDZ and LIM domain protein 1 ,30,7,34,7,Pdlim1,1.36,0.10,1.21,0.25,HEART,PROT,RAT
Q62920,PDZ and LIM domain protein 5 ,32,11,112,11,Pdlim5,1.08,0.15,1.00,1.00,HEART,PROT,RAT
Q9Z1Z9,PDZ and LIM domain protein 7 ,5,2,5,2,Pdlim7,1.03,1.00,1.13,0.20,HEART,PROT,RAT
F1LVY9,Peptide deformylase ,19,4,16,4,Pdf,0.79,0.32,0.96,1.00,HEART,PROT,RAT
P10111,Peptidyl-prolyl cis-trans isomerase A ,32,5,48,5,Ppia; LOC100360977,1.16,0.02,1.11,0.22,HEART,PROT,RAT
P24368,Peptidyl-prolyl cis-trans isomerase B ,44,9,23,9,Ppib,1.21,0.15,1.16,0.19,HEART,PROT,RAT
Q6DGG0,Peptidyl-prolyl cis-trans isomerase D ,28,10,29,10,Ppid,1.17,0.20,1.22,0.13,HEART,PROT,RAT
P29117,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial ",31,7,27,7,Ppif,1.03,1.00,1.00,1.00,HEART,PROT,RAT
Q62658,Peptidyl-prolyl cis-trans isomerase FKBP1A ,56,3,13,3,Fkbp1a,1.06,1.00,1.30,0.91,HEART,PROT,RAT
D3ZZR9,Peptidylprolyl isomerase ,19,2,9,2,Fkbp2,1.06,1.00,0.98,1.00,HEART,PROT,RAT
B5DF03,Peptidylprolyl isomerase (Fragment) ,40,8,41,8,Fkbp3,0.54,0.02,0.68,0.25,HEART,PROT,RAT
Q5XI86,Peptidyl-tRNA hydrolase 2 ,20,2,8,2,Ptrh2,1.03,1.00,0.91,1.00,HEART,PROT,RAT
M0RA08,Perilipin ,23,6,26,6,Plin3,1.27,0.75,0.83,0.60,HEART,PROT,RAT
M0R7S5,Perilipin 4 ,65,16,69,16,Plin4,0.64,<0.01,0.83,0.08,HEART,PROT,RAT
D3ZAF5,Periostin ,35,21,60,21,Postn,7.54,<0.01,3.43,<0.01,HEART,PROT,RAT
Q496Z5,Peripherin ,14,7,35,3,Prph,0.81,0.51,0.92,1.00,HEART,PROT,RAT
G3V7I0,Peroxiredoxin 3 ,31,8,94,8,Prdx3,0.96,0.57,0.88,<0.01,HEART,PROT,RAT
A0A0G2JSH9,Peroxiredoxin-2 ,31,7,58,7,Prdx2,1.20,0.09,1.19,0.38,HEART,PROT,RAT
Q9R063,"Peroxiredoxin-5, mitochondrial ",36,8,74,8,Prdx5,0.86,<0.01,0.79,<0.01,HEART,PROT,RAT
O35244,Peroxiredoxin-6 ,79,18,196,18,Prdx6,1.37,<0.01,1.13,<0.01,HEART,PROT,RAT
Q6AXX6,Peroxiredoxin-like 2A ,10,2,6,2,Prxl2a,2.49,0.03,3.16,0.02,HEART,PROT,RAT
P07872,Peroxisomal acyl-coenzyme A oxidase 1 ,15,6,11,2,Acox1,0.78,0.06,0.98,1.00,HEART,PROT,RAT
Q9QYU1,Peroxisomal biogenesis factor 19 ,33,6,21,6,Pex19,0.87,0.32,0.82,0.10,HEART,PROT,RAT
P97852,Peroxisomal multifunctional enzyme type 2 ,33,21,47,21,Hsd17b4,1.09,0.27,1.16,0.19,HEART,PROT,RAT
A0A0G2JVG4,Peroxisomal trans-2-enoyl-CoA reductase ,37,7,17,7,Pecr,0.57,<0.01,0.81,0.03,HEART,PROT,RAT
A1A5L2,Pgm1 protein (Fragment) ,54,25,186,25,Pgm1,1.26,<0.01,1.18,0.05,HEART,PROT,RAT
Q68FT7,Phenylalanyl-tRNA synthetase subunit beta ,15,7,14,7,Farsb,0.97,1.00,1.09,1.00,HEART,PROT,RAT
Q6IRH6,"Phosphate carrier protein, mitochondrial ",30,12,97,12,Slc25a3,0.93,0.62,1.15,0.03,HEART,PROT,RAT
Q91XU8,Phosphatidate cytidylyltransferase 2 ,15,4,10,4,Cds2,1.53,0.51,1.64,0.41,HEART,PROT,RAT
P31044,Phosphatidylethanolamine-binding protein 1 ,63,8,105,8,Pebp1,0.96,0.95,0.87,0.19,HEART,PROT,RAT
P0C089,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 ,22,3,8,3,Ptpmt1,0.68,0.01,0.93,1.00,HEART,PROT,RAT
A0A140TAJ5,Phosphatidylinositol 4-kinase alpha ,1,2,4,2,Pi4ka,0.26,<0.01,0.31,<0.01,HEART,PROT,RAT
R9PXS4,Phosphatidylinositol transfer protein alpha isoform ,39,8,19,7,Pitpna,1.01,1.00,1.03,0.88,HEART,PROT,RAT
D3ZVR9,Phosphoglucomutase 5 ,24,11,41,11,Pgm5,1.59,<0.01,1.51,<0.01,HEART,PROT,RAT
P16617,Phosphoglycerate kinase 1 ,55,22,280,22,Pgk1,1.10,0.22,1.04,1.00,HEART,PROT,RAT
P25113,Phosphoglycerate mutase 1 ,62,10,141,7,Pgam1,1.03,0.97,1.06,0.70,HEART,PROT,RAT
P16290,Phosphoglycerate mutase 2 ,40,9,142,6,Pgam2,0.75,0.06,0.79,0.11,HEART,PROT,RAT
D3ZP47,Phosphohistidine phosphatase 1 ,31,4,20,4,Phpt1,0.99,1.00,1.01,1.00,HEART,PROT,RAT
G3V9D1,Phosphoinositide phospholipase C ,5,3,9,3,Plcd1,0.82,0.73,1.21,0.78,HEART,PROT,RAT
P54319,Phospholipase A-2-activating protein ,14,8,17,8,Plaa,1.00,1.00,1.06,0.67,HEART,PROT,RAT
B5DF46,Phosphomannomutase ,31,7,23,7,Pmm2,0.88,0.24,1.01,1.00,HEART,PROT,RAT
O08618,Phosphoribosyl pyrophosphate synthase-associated protein 2 ,25,6,21,5,Prpsap2,1.01,1.00,1.10,0.81,HEART,PROT,RAT
P57093,"Phytanoyl-CoA dioxygenase, peroxisomal ",23,7,16,7,Phyh,0.99,1.00,1.03,1.00,HEART,PROT,RAT
Q5M827,Pirin ,18,5,10,5,Pir,1.43,0.38,1.06,1.00,HEART,PROT,RAT
D3ZUF9,Pitrilysin metallepetidase 1 (Predicted) ,15,12,22,12,Pitrm1,0.73,0.63,1.18,1.00,HEART,PROT,RAT
P70565,Plakoglobin ,39,23,112,21,Jup,1.21,<0.01,1.25,<0.01,HEART,PROT,RAT
Q6P734,Plasma protease C1 inhibitor ,12,5,5,5,Serping1,1.28,0.58,1.48,0.27,HEART,PROT,RAT
Q01177,Plasminogen ,13,11,38,11,Plg,1.04,1.00,1.01,1.00,HEART,PROT,RAT
Q6AXS5,Plasminogen activator inhibitor 1 RNA-binding protein ,30,11,23,11,Serbp1,0.98,1.00,0.88,1.00,HEART,PROT,RAT
Q63598,Plastin-3 ,23,12,41,10,Pls3,1.76,<0.01,1.69,<0.01,HEART,PROT,RAT
Q07969,Platelet glycoprotein 4 ,22,7,74,7,Cd36,0.69,0.01,0.85,0.46,HEART,PROT,RAT
P63004,Platelet-activating factor acetylhydrolase IB subunit alpha ,16,6,16,5,Pafah1b1,1.01,1.00,1.17,0.22,HEART,PROT,RAT
O35264,Platelet-activating factor acetylhydrolase IB subunit beta ,12,2,10,2,Pafah1b2,1.19,0.91,1.32,0.50,HEART,PROT,RAT
Q6S3A4,Plectin ,48,188,661,188,Plec,0.96,0.39,1.01,0.71,HEART,PROT,RAT
A0A0G2K2L1,Podocalyxin ,5,2,8,2,Podxl,1.52,<0.01,1.29,0.06,HEART,PROT,RAT
Q5U2U3,Poly [ADP-ribose] polymerase ,9,4,6,4,Parp3,0.99,1.00,1.05,1.00,HEART,PROT,RAT
G3V9N0,Polyadenylate-binding protein ,16,8,20,5,Pabpc4,0.81,0.78,0.84,0.95,HEART,PROT,RAT
Q00438,Polypyrimidine tract-binding protein 1 ,15,4,19,4,Ptbp1,1.11,0.94,1.35,0.23,HEART,PROT,RAT
G3V6G7,Polyribonucleotide nucleotidyltransferase 1 ,18,12,19,12,Pnpt1,0.91,1.00,1.27,0.64,HEART,PROT,RAT
Q63654,Polyubiquitin (Fragment) ,55,5,41,5,Ubc,1.15,0.02,1.11,0.05,HEART,PROT,RAT
Q6P722,Popeye domain-containing 2 ,6,2,5,2,Popdc2,1.01,1.00,1.11,1.00,HEART,PROT,RAT
D3ZH76,"PPARGC1 and ESRR-induced regulator, muscle 1 ",14,6,11,6,RGD1304931; Perm1,0.54,0.90,1.04,1.00,HEART,PROT,RAT
A0A0G2K781,PPFIA-binding protein 1 ,4,4,10,4,Ppfibp1,1.10,0.91,1.15,0.67,HEART,PROT,RAT
A2VD12,Pre-B-cell leukemia transcription factor-interacting protein 1 ,31,13,41,13,Pbxip1,1.28,0.84,1.30,0.76,HEART,PROT,RAT
B5DFN4,"Prefoldin 5 (Predicted), isoform CRA_a ",26,3,9,3,Pfdn5,1.09,0.93,1.06,0.66,HEART,PROT,RAT
B0BN18,Prefoldin subunit 2 ,17,2,5,2,Pfdn2,1.03,1.00,1.18,1.00,HEART,PROT,RAT
D3ZZV1,Presequence translocase-associated motor 16 ,15,2,5,2,Magmas; Pam16,0.90,1.00,0.89,1.00,HEART,PROT,RAT
Q5PQN1,Probable E3 ubiquitin-protein ligase HERC4 ,3,2,6,2,Herc4,1.23,0.66,1.52,0.05,HEART,PROT,RAT
P62963,Profilin-1 ,65,7,57,7,Pfn1,1.55,<0.01,1.34,<0.01,HEART,PROT,RAT
D4ADF5,Programmed cell death 5 ,30,3,7,3,Pdcd5; LOC100912106; NEWGENE_1310561,1.05,1.00,1.28,1.00,HEART,PROT,RAT
A0A140TAA4,Programmed cell death 6-interacting protein ,28,19,30,19,Pdcd6ip,1.13,0.23,1.18,0.06,HEART,PROT,RAT
G3V7W1,Programmed cell death protein 6 ,13,3,4,3,Pdcd6,1.13,1.00,1.15,1.00,HEART,PROT,RAT
P67779,Prohibitin ,77,18,161,18,Phb,0.87,<0.01,0.89,<0.01,HEART,PROT,RAT
