Accession,Gene Name,FC (MI 8W/Sham),Number of peptides,p-value,Description,Tissue,Ome,Species
Q8K411,Pitrm1 Kiaa1104 Ntup1,0.917,10,0.1555,"Presequence protease, mitochondrial OS=Mus musculus GN=Pitrm1 PE=1 SV=1",HEART,PROT,HUMAN
B1ARU1,Macf1,0.917,4,0.4526,Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=1,HEART,PROT,HUMAN
Q8VBT1,Txlnb Mdp77,0.916,14,0.04745,Beta-taxilin OS=Mus musculus GN=Txlnb PE=1 SV=2,HEART,PROT,HUMAN
Q62446,Fkbp3 Fkbp25,0.916,6,0.0853,Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Mus musculus GN=Fkbp3 PE=1 SV=2,HEART,PROT,HUMAN
Q99L04,Dhrs1 D14ertd484e,0.916,4,0.1583,Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=1 SV=1,HEART,PROT,HUMAN
G5E8J6,Hrc mCG_23168,0.916,20,0.2279,"Histidine rich calcium binding protein, isoform CRA_a OS=Mus musculus GN=Hrc PE=1 SV=1",HEART,PROT,HUMAN
Q5SW88,Rab1a Rab1,0.915,15,0.04159,"RAB1A, member RAS oncogene family OS=Mus musculus GN=Rab1a PE=1 SV=1",HEART,PROT,HUMAN
P59325,Eif5,0.915,4,0.5109,Eukaryotic translation initiation factor 5 OS=Mus musculus GN=Eif5 PE=1 SV=1,HEART,PROT,HUMAN
P52480,Pkm Pk3 Pkm2 Pykm,0.914,55,0.0001966,Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4,HEART,PROT,HUMAN
G5E8R4,Ppp6r3 Saps3 mCG_3896,0.914,5,0.2583,"SAPS domain family, member 3, isoform CRA_c OS=Mus musculus GN=Ppp6r3 PE=1 SV=1",HEART,PROT,HUMAN
O35344,Kpna3 Qip2,0.914,5,0.397,Importin subunit alpha-4 OS=Mus musculus GN=Kpna3 PE=1 SV=1,HEART,PROT,HUMAN
P49817,Cav1 Cav,0.913,20,0.02813,Caveolin-1 OS=Mus musculus GN=Cav1 PE=1 SV=1,HEART,PROT,HUMAN
Q8VDC1,Fyco1,0.913,5,0.03497,FYVE and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Fyco1 PE=1 SV=1,HEART,PROT,HUMAN
P62073,Timm10 Tim10,0.913,5,0.06415,Mitochondrial import inner membrane translocase subunit Tim10 OS=Mus musculus GN=Timm10 PE=1 SV=1,HEART,PROT,HUMAN
Q9QXY6,Ehd3 Ehd2,0.913,9,0.2134,EH domain-containing protein 3 OS=Mus musculus GN=Ehd3 PE=1 SV=2,HEART,PROT,HUMAN
Q61838,Pzp A2m,0.912,18,0.001808,Pregnancy zone protein OS=Mus musculus GN=Pzp PE=1 SV=3,HEART,PROT,HUMAN
Q9CR84,Atp5mc1 Atp5g1,0.912,7,0.004574,"ATP synthase F(0) complex subunit C1, mitochondrial OS=Mus musculus GN=Atp5g1 PE=2 SV=1",HEART,PROT,HUMAN
P10493,Nid1 Ent,0.912,22,0.01714,Nidogen-1 OS=Mus musculus GN=Nid1 PE=1 SV=2,HEART,PROT,HUMAN
Q00898,Serpina1e Dom5 Spi1-5,0.912,16,0.07928,Alpha-1-antitrypsin 1-5 OS=Mus musculus GN=Serpina1e PE=1 SV=1,HEART,PROT,HUMAN
Q9EQH3,Vps35 Mem3,0.912,12,0.1314,Vacuolar protein sorting-associated protein 35 OS=Mus musculus GN=Vps35 PE=1 SV=1,HEART,PROT,HUMAN
E9Q264,Myh15,0.911,8,0.0008715,"Myosin, heavy chain 15 OS=Mus musculus GN=Myh15 PE=1 SV=1",HEART,PROT,HUMAN
Q9D3L3,Snap23,0.911,5,0.2652,Synaptosomal-associated protein OS=Mus musculus GN=Snap23 PE=1 SV=1,HEART,PROT,HUMAN
Q99LE6,Abcf2,0.911,3,0.3494,ATP-binding cassette sub-family F member 2 OS=Mus musculus GN=Abcf2 PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J1W0,Sorbs2,0.91,23,0.00153,Sorbin and SH3 domain-containing protein 2 OS=Mus musculus GN=Sorbs2 PE=1 SV=1,HEART,PROT,HUMAN
Q5SS83,Flot2 mCG_10827,0.91,3,0.006238,"Flotillin 2, isoform CRA_a OS=Mus musculus GN=Flot2 PE=1 SV=1",HEART,PROT,HUMAN
Q61655,Ddx19a Ddx19 Eif4a-rs1,0.91,5,0.4669,ATP-dependent RNA helicase DDX19A OS=Mus musculus GN=Ddx19a PE=1 SV=2,HEART,PROT,HUMAN
Q99JB8,Pacsin3,0.909,10,0.001082,Protein kinase C and casein kinase II substrate protein 3 OS=Mus musculus GN=Pacsin3 PE=1 SV=1,HEART,PROT,HUMAN
Q3B7Z2,Osbp Kiaa4220,0.909,7,0.06993,Oxysterol-binding protein 1 OS=Mus musculus GN=Osbp PE=1 SV=3,HEART,PROT,HUMAN
Q80ZS3,Mrps26,0.909,3,0.082,"28S ribosomal protein S26, mitochondrial OS=Mus musculus GN=Mrps26 PE=1 SV=1",HEART,PROT,HUMAN
O08600,Endog,0.909,4,0.2825,"Endonuclease G, mitochondrial OS=Mus musculus GN=Endog PE=1 SV=1",HEART,PROT,HUMAN
A0A1B0GS91,Svil,0.908,15,0.00426,Supervillin OS=Mus musculus GN=Svil PE=1 SV=1,HEART,PROT,HUMAN
P35385,Hspb7 Cvhsp Hsp25-2,0.908,8,0.1057,Heat shock protein beta-7 OS=Mus musculus GN=Hspb7 PE=1 SV=3,HEART,PROT,HUMAN
Q8BGA9,Oxa1l,0.908,3,0.3338,Mitochondrial inner membrane protein OXA1L OS=Mus musculus GN=Oxa1l PE=1 SV=1,HEART,PROT,HUMAN
P62843,Rps15 Rig,0.907,6,0.2665,40S ribosomal protein S15 OS=Mus musculus GN=Rps15 PE=1 SV=2,HEART,PROT,HUMAN
Q8BX02,Kank2 Ankrd25,0.907,3,0.5181,KN motif and ankyrin repeat domain-containing protein 2 OS=Mus musculus GN=Kank2 PE=1 SV=1,HEART,PROT,HUMAN
P09411,Pgk1 Pgk-1,0.906,34,0.005433,Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4,HEART,PROT,HUMAN
Q61990,Pcbp2 Cbp Hnrnpx Hnrpx,0.906,4,0.1638,Poly(rC)-binding protein 2 OS=Mus musculus GN=Pcbp2 PE=1 SV=1,HEART,PROT,HUMAN
P63276,Rps17,0.905,4,0.04375,40S ribosomal protein S17 OS=Mus musculus GN=Rps17 PE=1 SV=2,HEART,PROT,HUMAN
Q9CZ83,Mrpl55,0.905,4,0.1343,"39S ribosomal protein L55, mitochondrial OS=Mus musculus GN=Mrpl55 PE=1 SV=1",HEART,PROT,HUMAN
Q9D6S7,Mrrf,0.905,8,0.1537,"Ribosome-recycling factor, mitochondrial OS=Mus musculus GN=Mrrf PE=1 SV=1",HEART,PROT,HUMAN
P61089,Ube2n Blu,0.904,9,0.005094,Ubiquitin-conjugating enzyme E2 N OS=Mus musculus GN=Ube2n PE=1 SV=1,HEART,PROT,HUMAN
Q61249,Igbp1 Pc52,0.904,8,0.04413,Immunoglobulin-binding protein 1 OS=Mus musculus GN=Igbp1 PE=1 SV=1,HEART,PROT,HUMAN
A0A0G2JDI9,Abcd3,0.904,9,0.05321,ATP-binding cassette sub-family D member 3 OS=Mus musculus GN=Abcd3 PE=1 SV=1,HEART,PROT,HUMAN
D3Z442,Aamdc 1810020D17Rik,0.904,5,0.2425,Mth938 domain-containing protein OS=Mus musculus GN=Aamdc PE=1 SV=1,HEART,PROT,HUMAN
P63328,Ppp3ca Calna,0.903,4,0.0345,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus GN=Ppp3ca PE=1 SV=1,HEART,PROT,HUMAN
Q9D967,Mdp1,0.903,4,0.08423,Magnesium-dependent phosphatase 1 OS=Mus musculus GN=Mdp1 PE=1 SV=1,HEART,PROT,HUMAN
P56391,Cox6b1 Cox6b,0.903,10,0.11,Cytochrome c oxidase subunit 6B1 OS=Mus musculus GN=Cox6b1 PE=1 SV=2,HEART,PROT,HUMAN
P47754,Capza2 Cappa2,0.903,5,0.3402,F-actin-capping protein subunit alpha-2 OS=Mus musculus GN=Capza2 PE=1 SV=3,HEART,PROT,HUMAN
O88543,Cops3 Csn3,0.902,3,0.05089,COP9 signalosome complex subunit 3 OS=Mus musculus GN=Cops3 PE=1 SV=3,HEART,PROT,HUMAN
O35350,Capn1 Canp1 Capa1,0.902,6,0.3355,Calpain-1 catalytic subunit OS=Mus musculus GN=Capn1 PE=1 SV=1,HEART,PROT,HUMAN
D3Z1V4,Pebp1,0.901,4,0.3211,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=1,HEART,PROT,HUMAN
Q9R0U0,Srsf10 Fusip1 Nssr Sfrs13a Srsf13a,0.901,3,0.3553,Serine/arginine-rich splicing factor 10 OS=Mus musculus GN=Srsf10 PE=1 SV=2,HEART,PROT,HUMAN
Q8BMJ2,Lars,0.9,6,0.01123,"Leucine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Lars PE=1 SV=2",HEART,PROT,HUMAN
K3W4R2,Myh14,0.899,32,0.007748,Myosin-14 OS=Mus musculus GN=Myh14 PE=1 SV=1,HEART,PROT,HUMAN
O35386,Phyh Ln1 Lnap1 Pahx,0.899,4,0.06591,"Phytanoyl-CoA dioxygenase, peroxisomal OS=Mus musculus GN=Phyh PE=1 SV=1",HEART,PROT,HUMAN
D3Z4B2,Napg,0.899,3,0.1329,Gamma-soluble NSF attachment protein (Fragment) OS=Mus musculus GN=Napg PE=1 SV=1,HEART,PROT,HUMAN
Q9WTI7,Myo1c,0.899,5,0.2061,Unconventional myosin-Ic OS=Mus musculus GN=Myo1c PE=1 SV=2,HEART,PROT,HUMAN
A0A1W2P6P1,Sgta,0.898,4,0.0001935,Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Fragment) OS=Mus musculus GN=Sgta PE=1 SV=1,HEART,PROT,HUMAN
Q9ET78,Jph2 Jp2,0.898,14,0.05771,Junctophilin-2 OS=Mus musculus GN=Jph2 PE=1 SV=2,HEART,PROT,HUMAN
Q8VCG1,Dut Dutp mCG_6136,0.898,4,0.2063,Deoxyuridine triphosphatase OS=Mus musculus GN=Dut PE=1 SV=1,HEART,PROT,HUMAN
P61205,Arf3,0.898,5,0.3783,ADP-ribosylation factor 3 OS=Mus musculus GN=Arf3 PE=2 SV=2,HEART,PROT,HUMAN
Q9JHU4,Dync1h1 Dhc1 Dnch1 Dnchc1 Dyhc,0.897,89,2.83E-08,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2,HEART,PROT,HUMAN
A0A0R4J140,Cluh,0.897,12,0.01233,Clustered mitochondria protein homolog OS=Mus musculus GN=Cluh PE=1 SV=1,HEART,PROT,HUMAN
P19157,Gstp1 Gstpib,0.897,9,0.01814,Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2,HEART,PROT,HUMAN
Q8R035,Mrpl58 Ict1,0.897,3,0.4638,"Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Mus musculus GN=Mrpl58 PE=1 SV=1",HEART,PROT,HUMAN
D3YXG6,Arpc2 mCG_114810,0.896,4,0.1778,Arp2/3 complex 34 kDa subunit OS=Mus musculus GN=Arpc2 PE=1 SV=1,HEART,PROT,HUMAN
P14824,Anxa6 Anx6,0.895,65,0.0002091,Annexin A6 OS=Mus musculus GN=Anxa6 PE=1 SV=3,HEART,PROT,HUMAN
Q9CYT6,Cap2,0.895,7,0.1623,Adenylyl cyclase-associated protein 2 OS=Mus musculus GN=Cap2 PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4IZY0,Thop1 mCG_12096,0.895,4,0.1802,Thimet oligopeptidase OS=Mus musculus GN=Thop1 PE=1 SV=1,HEART,PROT,HUMAN
O35226,Psmd4 Mcb1,0.895,3,0.3299,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus GN=Psmd4 PE=1 SV=1,HEART,PROT,HUMAN
Q9ES46,Parvb,0.894,7,0.03546,Beta-parvin OS=Mus musculus GN=Parvb PE=1 SV=1,HEART,PROT,HUMAN
G3X9G4,Dnm2,0.894,6,0.2763,Dynamin-2 OS=Mus musculus GN=Dnm2 PE=1 SV=1,HEART,PROT,HUMAN
Q9CZS1,Aldh1b1 Aldhx,0.894,4,0.3809,"Aldehyde dehydrogenase X, mitochondrial OS=Mus musculus GN=Aldh1b1 PE=1 SV=1",HEART,PROT,HUMAN
Q9Z1F9,Uba2 Sae2 Uble1b,0.894,3,0.6368,SUMO-activating enzyme subunit 2 OS=Mus musculus GN=Uba2 PE=1 SV=1,HEART,PROT,HUMAN
Q99MR9,Ppp1r3a Pp1g,0.893,7,0.003027,Protein phosphatase 1 regulatory subunit 3A OS=Mus musculus GN=Ppp1r3a PE=1 SV=2,HEART,PROT,HUMAN
Q04447,Ckb Ckbb,0.893,18,0.008728,Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1,HEART,PROT,HUMAN
B7ZNL2,Nap1l4 mCG_129001,0.893,13,0.01804,Nap1l4 protein OS=Mus musculus GN=Nap1l4 PE=1 SV=1,HEART,PROT,HUMAN
A2AUD5,Tpd52l2,0.893,9,0.09086,Tumor protein D54 OS=Mus musculus GN=Tpd52l2 PE=1 SV=1,HEART,PROT,HUMAN
E0CXB9,Ctnna2,0.893,4,0.1148,Catenin alpha-2 OS=Mus musculus GN=Ctnna2 PE=1 SV=1,HEART,PROT,HUMAN
Q9CX80,Cygb,0.893,3,0.1284,Cytoglobin OS=Mus musculus GN=Cygb PE=1 SV=1,HEART,PROT,HUMAN
Q9D358,Acp1,0.892,4,0.005483,Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus GN=Acp1 PE=1 SV=3,HEART,PROT,HUMAN
P63101,Ywhaz,0.892,17,0.01822,14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1,HEART,PROT,HUMAN
D3Z3A0,Ppp1r2 mCG_126099,0.892,3,0.3011,"MCG126099, isoform CRA_b OS=Mus musculus GN=Ppp1r2 PE=1 SV=1",HEART,PROT,HUMAN
A0A0G2JFH2,Map4,0.891,20,0.02365,Microtubule-associated protein (Fragment) OS=Mus musculus GN=Map4 PE=1 SV=1,HEART,PROT,HUMAN
Q9CY73,Mrpl44,0.891,3,0.1211,"39S ribosomal protein L44, mitochondrial OS=Mus musculus GN=Mrpl44 PE=1 SV=3",HEART,PROT,HUMAN
A0A1Y7VLP0,Atp5mpl 2010107E04Rik mCG_1682,0.891,3,0.1658,RIKEN cDNA 2010107E04 gene (Fragment) OS=Mus musculus GN=2010107E04Rik PE=1 SV=1,HEART,PROT,HUMAN
Q9CXT8,Pmpcb,0.89,9,0.0001068,Mitochondrial-processing peptidase subunit beta OS=Mus musculus GN=Pmpcb PE=1 SV=1,HEART,PROT,HUMAN
Q9D832,Dnajb4,0.89,4,0.09034,DnaJ homolog subfamily B member 4 OS=Mus musculus GN=Dnajb4 PE=1 SV=1,HEART,PROT,HUMAN
B0R091,Chp1 1500003O03Rik,0.89,5,0.1145,Calcineurin B homologous protein 1 OS=Mus musculus GN=Chp1 PE=1 SV=1,HEART,PROT,HUMAN
A0A1D5RLS1,Eps15l1,0.89,5,0.1449,Epidermal growth factor receptor substrate 15-like 1 OS=Mus musculus GN=Eps15l1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BPM0,Daam1,0.89,4,0.1449,Disheveled-associated activator of morphogenesis 1 OS=Mus musculus GN=Daam1 PE=1 SV=4,HEART,PROT,HUMAN
Q9DBB8,Dhdh,0.89,4,0.3473,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase OS=Mus musculus GN=Dhdh PE=1 SV=1",HEART,PROT,HUMAN
O09111,Ndufb11 Np15,0.889,11,0.02059,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial OS=Mus musculus GN=Ndufb11 PE=1 SV=2",HEART,PROT,HUMAN
Q9QUR6,Prep Pep,0.889,9,0.02447,Prolyl endopeptidase OS=Mus musculus GN=Prep PE=1 SV=1,HEART,PROT,HUMAN
Q61733,Mrps31 Imogn38,0.889,6,0.05553,"28S ribosomal protein S31, mitochondrial OS=Mus musculus GN=Mrps31 PE=1 SV=1",HEART,PROT,HUMAN
P63330,Ppp2ca,0.889,5,0.1749,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Mus musculus GN=Ppp2ca PE=1 SV=1,HEART,PROT,HUMAN
P17879,Hspa1b Hcp70.1 Hsp70-1 Hsp70a1 Hspa1,0.888,14,0.002087,Heat shock 70 kDa protein 1B OS=Mus musculus GN=Hspa1b PE=1 SV=3,HEART,PROT,HUMAN
Q8R5J9,Arl6ip5 Aip5 Jwa Pra2 Praf3,0.888,5,0.1817,PRA1 family protein 3 OS=Mus musculus GN=Arl6ip5 PE=1 SV=2,HEART,PROT,HUMAN
Q9QYB1,Clic4,0.887,8,0.2018,Chloride intracellular channel protein 4 OS=Mus musculus GN=Clic4 PE=1 SV=3,HEART,PROT,HUMAN
P32261,Serpinc1 At3,0.887,12,0.2047,Antithrombin-III OS=Mus musculus GN=Serpinc1 PE=1 SV=1,HEART,PROT,HUMAN
Q9CQ60,Pgls,0.887,5,0.3089,6-phosphogluconolactonase OS=Mus musculus GN=Pgls PE=1 SV=1,HEART,PROT,HUMAN
Q01853,Vcp,0.886,44,1.40E-05,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4,HEART,PROT,HUMAN
P60335,Pcbp1,0.886,4,0.1666,Poly(rC)-binding protein 1 OS=Mus musculus GN=Pcbp1 PE=1 SV=1,HEART,PROT,HUMAN
Q9CZR8,Tsfm,0.886,4,0.5767,"Elongation factor Ts, mitochondrial OS=Mus musculus GN=Tsfm PE=1 SV=1",HEART,PROT,HUMAN
Q3UER8,Fgg,0.885,13,0.04427,Fibrinogen gamma chain OS=Mus musculus GN=Fgg PE=1 SV=1,HEART,PROT,HUMAN
G3UYW7,Yap1,0.885,3,0.3439,Transcriptional coactivator YAP1 (Fragment) OS=Mus musculus GN=Yap1 PE=1 SV=1,HEART,PROT,HUMAN
A2ACG7,Rpn2,0.885,3,0.508,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus GN=Rpn2 PE=1 SV=1,HEART,PROT,HUMAN
P61014,Pln,0.884,3,0.07635,Cardiac phospholamban OS=Mus musculus GN=Pln PE=1 SV=1,HEART,PROT,HUMAN
Q6NSR8,Npepl1,0.884,3,0.1927,Probable aminopeptidase NPEPL1 OS=Mus musculus GN=Npepl1 PE=1 SV=1,HEART,PROT,HUMAN
P10630,Eif4a2 Ddx2b,0.883,11,0.02121,Eukaryotic initiation factor 4A-II OS=Mus musculus GN=Eif4a2 PE=1 SV=2,HEART,PROT,HUMAN
A0A0R4J1H6,Golga3,0.882,5,0.01113,Golgin subfamily A member 3 OS=Mus musculus GN=Golga3 PE=1 SV=1,HEART,PROT,HUMAN
Q00519,Xdh,0.882,5,0.04456,Xanthine dehydrogenase/oxidase OS=Mus musculus GN=Xdh PE=1 SV=5,HEART,PROT,HUMAN
Q9CQF0,Mrpl11,0.882,3,0.2993,"39S ribosomal protein L11, mitochondrial OS=Mus musculus GN=Mrpl11 PE=1 SV=1",HEART,PROT,HUMAN
A0A0G2JEX1,Nexn,0.881,27,1.11E-05,Nexilin OS=Mus musculus GN=Nexn PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J1T1,Sorbs2,0.881,27,1.23E-05,Sorbin and SH3 domain-containing protein 2 (Fragment) OS=Mus musculus GN=Sorbs2 PE=1 SV=1,HEART,PROT,HUMAN
Q3UF95,Bag6 Bat3,0.881,3,0.01687,Large proline-rich protein BAG6 OS=Mus musculus GN=Bag6 PE=1 SV=1,HEART,PROT,HUMAN
P43883,Plin2 Adfp Adrp,0.881,6,0.09629,Perilipin-2 OS=Mus musculus GN=Plin2 PE=1 SV=2,HEART,PROT,HUMAN
Q3UM45,Ppp1r7 Sds22,0.881,11,0.126,Protein phosphatase 1 regulatory subunit 7 OS=Mus musculus GN=Ppp1r7 PE=1 SV=2,HEART,PROT,HUMAN
P27612,Plaa Plap,0.881,8,0.1596,Phospholipase A-2-activating protein OS=Mus musculus GN=Plaa PE=1 SV=4,HEART,PROT,HUMAN
E9Q0I7,Homer1,0.881,3,0.2073,Homer protein homolog 1 OS=Mus musculus GN=Homer1 PE=1 SV=1,HEART,PROT,HUMAN
P31001,Des,0.88,127,1.67E-09,Desmin OS=Mus musculus GN=Des PE=1 SV=3,HEART,PROT,HUMAN
O88844,Idh1,0.88,17,8.63E-06,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus GN=Idh1 PE=1 SV=2,HEART,PROT,HUMAN
G3X9Q1,Itga7 mCG_18693,0.88,12,0.002691,Integrin alpha-7 OS=Mus musculus GN=Itga7 PE=1 SV=1,HEART,PROT,HUMAN
Q91VI7,Rnh1 Rnh,0.88,11,0.002957,Ribonuclease inhibitor OS=Mus musculus GN=Rnh1 PE=1 SV=1,HEART,PROT,HUMAN
Q9CR61,Ndufb7,0.88,26,0.02663,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Mus musculus GN=Ndufb7 PE=1 SV=3,HEART,PROT,HUMAN
P62334,Psmc6 Sug2,0.88,5,0.03877,26S proteasome regulatory subunit 10B OS=Mus musculus GN=Psmc6 PE=1 SV=1,HEART,PROT,HUMAN
Q6ZQ38,Cand1 D10Ertd516e Kiaa0829,0.88,5,0.2611,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus GN=Cand1 PE=1 SV=2,HEART,PROT,HUMAN
A0A0B4J1E7,Kpna4,0.879,4,0.3162,Importin subunit alpha-3 OS=Mus musculus GN=Kpna4 PE=1 SV=1,HEART,PROT,HUMAN
E9Q9M1,Nt5c2,0.879,3,0.4939,Cytosolic purine 5'-nucleotidase OS=Mus musculus GN=Nt5c2 PE=1 SV=1,HEART,PROT,HUMAN
A2AP32,Ndufb6,0.878,12,0.1013,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Mus musculus GN=Ndufb6 PE=1 SV=1,HEART,PROT,HUMAN
P10639,Txn Txn1,0.878,8,0.1143,Thioredoxin OS=Mus musculus GN=Txn PE=1 SV=3,HEART,PROT,HUMAN
P68037,Ube2l3 Ubce7,0.877,10,0.01023,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus GN=Ube2l3 PE=1 SV=1,HEART,PROT,HUMAN
P54726,Rad23a Mhr23a,0.877,4,0.01423,UV excision repair protein RAD23 homolog A OS=Mus musculus GN=Rad23a PE=1 SV=2,HEART,PROT,HUMAN
Q9Z2U0,Psma7,0.877,5,0.02172,Proteasome subunit alpha type-7 OS=Mus musculus GN=Psma7 PE=1 SV=1,HEART,PROT,HUMAN
Q91VM9,Ppa2,0.877,14,0.097,"Inorganic pyrophosphatase 2, mitochondrial OS=Mus musculus GN=Ppa2 PE=1 SV=1",HEART,PROT,HUMAN
Q99N87,Mrps5,0.877,3,0.326,"28S ribosomal protein S5, mitochondrial OS=Mus musculus GN=Mrps5 PE=1 SV=1",HEART,PROT,HUMAN
P23242,Gja1 Cxn-43,0.877,6,0.5442,Gap junction alpha-1 protein OS=Mus musculus GN=Gja1 PE=1 SV=2,HEART,PROT,HUMAN
Q925I1,Atad3 Atad3a Kiaa1273,0.876,12,0.008613,ATPase family AAA domain-containing protein 3 OS=Mus musculus GN=Atad3 PE=1 SV=1,HEART,PROT,HUMAN
Q8BVZ1,Plin5 Lsdp5 Mldp Oxpat Pat1,0.876,5,0.2664,Perilipin-5 OS=Mus musculus GN=Plin5 PE=1 SV=1,HEART,PROT,HUMAN
E9QQ93,Xirp1,0.875,28,1.04E-05,Xin actin-binding repeat-containing protein 1 OS=Mus musculus GN=Xirp1 PE=1 SV=1,HEART,PROT,HUMAN
P16627,Hspa1l Hsc70t,0.875,14,0.0001279,Heat shock 70 kDa protein 1-like OS=Mus musculus GN=Hspa1l PE=1 SV=4,HEART,PROT,HUMAN
Q922B2,Dars,0.875,11,0.006232,"Aspartate--tRNA ligase, cytoplasmic OS=Mus musculus GN=Dars PE=1 SV=2",HEART,PROT,HUMAN
Q9CR16,Ppid,0.875,4,0.2542,Peptidyl-prolyl cis-trans isomerase D OS=Mus musculus GN=Ppid PE=1 SV=3,HEART,PROT,HUMAN
G3X9V0,Psme2 mCG_22048,0.875,6,0.4976,"MCG22048, isoform CRA_a OS=Mus musculus GN=Psme2 PE=1 SV=1",HEART,PROT,HUMAN
A0A0N4SUH8,Nfu1,0.874,5,0.05673,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial OS=Mus musculus GN=Nfu1 PE=1 SV=1",HEART,PROT,HUMAN
P21614,Gc,0.874,10,0.05873,Vitamin D-binding protein OS=Mus musculus GN=Gc PE=1 SV=2,HEART,PROT,HUMAN
Q9WV27,Atp1a4 Atp1al2,0.874,11,0.143,Sodium/potassium-transporting ATPase subunit alpha-4 OS=Mus musculus GN=Atp1a4 PE=1 SV=3,HEART,PROT,HUMAN
Q9WV55,Vapa Vap33,0.874,3,0.2471,Vesicle-associated membrane protein-associated protein A OS=Mus musculus GN=Vapa PE=1 SV=2,HEART,PROT,HUMAN
Q4FE56,Usp9x,0.874,3,0.4854,Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Mus musculus GN=Usp9x PE=1 SV=1,HEART,PROT,HUMAN
Q3TGU7,Pa2g4 mCG_18690,0.873,4,0.01304,Proliferation-associated 2G4 OS=Mus musculus GN=Pa2g4 PE=1 SV=1,HEART,PROT,HUMAN
Q80X85,Mrps7,0.873,3,0.06261,"28S ribosomal protein S7, mitochondrial OS=Mus musculus GN=Mrps7 PE=1 SV=1",HEART,PROT,HUMAN
O54984,Asna1 Arsa,0.872,4,0.02918,ATPase Asna1 OS=Mus musculus GN=Asna1 PE=1 SV=2,HEART,PROT,HUMAN
Q9EP69,Sacm1l Kiaa0851 Sac1,0.872,4,0.05046,Phosphatidylinositide phosphatase SAC1 OS=Mus musculus GN=Sacm1l PE=1 SV=1,HEART,PROT,HUMAN
O88544,Cops4 Csn4,0.872,3,0.0555,COP9 signalosome complex subunit 4 OS=Mus musculus GN=Cops4 PE=1 SV=1,HEART,PROT,HUMAN
Q3U2G2,Hspa4 mCG_113604,0.871,34,3.45E-06,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1,HEART,PROT,HUMAN
Q99PR8,Hspb2,0.871,3,0.1354,Heat shock protein beta-2 OS=Mus musculus GN=Hspb2 PE=1 SV=2,HEART,PROT,HUMAN
P17751,Tpi1 Tpi,0.87,35,0.002268,Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=4,HEART,PROT,HUMAN
P61082,Ube2m Ubc-rs2 Ubc12,0.87,4,0.01092,NEDD8-conjugating enzyme Ubc12 OS=Mus musculus GN=Ube2m PE=1 SV=1,HEART,PROT,HUMAN
P99028,Uqcrh,0.87,6,0.04641,"Cytochrome b-c1 complex subunit 6, mitochondrial OS=Mus musculus GN=Uqcrh PE=1 SV=2",HEART,PROT,HUMAN
Q62010,Ovgp1 Chit5 Ogp,0.87,3,0.3474,Oviduct-specific glycoprotein OS=Mus musculus GN=Ovgp1 PE=2 SV=1,HEART,PROT,HUMAN
P48036,Anxa5 Anx5,0.869,27,0.00126,Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1,HEART,PROT,HUMAN
